"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Get all student","SUCCESS","2019-08-31T00:01:42.897+05:30[Asia/Calcutta]","0.0","4.41"
"First serenity test","Get all student fail scenario","FAILURE","2019-08-31T00:01:47.415+05:30[Asia/Calcutta]","0.0","0.15"
"First serenity test","Get all student ERROR","ERROR","2019-08-31T00:01:47.57+05:30[Asia/Calcutta]","0.0","0.01"
"First serenity test","Get all student ignore","IGNORED","2019-08-31T00:01:47.584+05:30[Asia/Calcutta]","0.0","0.0"
"First serenity test","Get all student pending","PENDING","2019-08-31T00:01:47.59+05:30[Asia/Calcutta]","0.0","0.0"
"Students CRUD test","This test method will create a new Student","SUCCESS","2019-08-31T00:01:49.254+05:30[Asia/Calcutta]","0.0","0.44"
"Students CRUD test","Verify if the student is added to the Application","SUCCESS","2019-08-31T00:01:49.699+05:30[Asia/Calcutta]","0.0","0.57"
"Students CRUD test","Update the user information and verify updated informatoin","SUCCESS","2019-08-31T00:01:50.268+05:30[Asia/Calcutta]","0.0","0.27"
"Students CRUD test","Delete the student and verify if the student is deleted","SUCCESS","2019-08-31T00:01:50.541+05:30[Asia/Calcutta]","0.0","0.12"
